|    | Character   |   Occurrences |
|---:|:------------|--------------:|
|  0 | <           |          8326 |
|  1 | 0           |          5236 |
|  2 | A           |          4106 |
|  3 | 1           |          2634 |
|  4 | E           |          2630 |
|  5 | I           |          2378 |
|  6 | N           |          2139 |
|  7 | R           |          2128 |
|  8 | P           |          2105 |
|  9 | 2           |          2039 |
| 10 | S           |          2028 |
| 11 | O           |          1866 |
| 12 | T           |          1350 |
| 13 | M           |          1266 |
| 14 | L           |          1251 |
| 15 | U           |          1112 |
| 16 | 9           |          1111 |
| 17 | D           |          1001 |
| 18 | C           |           968 |
| 19 | 8           |           938 |
| 20 | 6           |           884 |
| 21 | F           |           877 |
| 22 | B           |           869 |
| 23 | 4           |           860 |
| 24 | 7           |           842 |
| 25 | 5           |           838 |
| 26 | 3           |           795 |
| 27 | H           |           703 |
| 28 | G           |           686 |
| 29 | a           |           496 |
| 30 | e           |           477 |
| 31 | K           |           430 |
| 32 | i           |           398 |
| 33 | V           |           375 |
| 34 | o           |           366 |
| 35 | J           |           328 |
| 36 | t           |           323 |
| 37 | r           |           316 |
| 38 | Y           |           311 |
| 39 | s           |           283 |
| 40 | n           |           272 |
| 41 | Z           |           258 |
| 42 | u           |           182 |
| 43 | l           |           162 |
| 44 | X           |           145 |
| 45 | p           |           144 |
| 46 | c           |           126 |
| 47 | d           |           115 |
| 48 | m           |            99 |
| 49 | y           |            94 |
| 50 | W           |            93 |
| 51 | h           |            92 |
| 52 | Q           |            91 |
| 53 | f           |            88 |
| 54 | g           |            60 |
| 55 | b           |            56 |
| 56 | x           |            38 |
| 57 | v           |            30 |
| 58 | k           |            17 |
| 59 | z           |            13 |
| 60 | w           |             9 |
| 61 | q           |             7 |
| 62 | j           |             2 |
